node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.961251,38.749216,0.707984,0.0
1,4,99999.922576,77.423865,3.48413,0.000397
1,5,99999.922251,77.748533,2.284527,0.0
1,6,99999.922248,77.751681,10.283589,0.0
1,8,99999.961262,38.738327,0.950575,0.0
1,9,99999.922248,77.751681,10.423541,0.0
1,13,99999.961263,38.736753,0.0,0.0
1,14,99999.961115,38.885289,0.0,0.0
1,17,99999.922511,77.489072,13.773441,0.0
1,21,99999.961248,38.752302,0.0,0.0
1,22,99999.922505,77.49524,0.0,0.0
1,24,99884.438388,115561.611916,10.657549,0.0
1,26,99999.92252,77.479758,0.0,0.0
1,27,99999.922508,77.492134,13.844967,0.0
1,28,99999.922517,77.482817,0.0,0.0
1,30,98250.626613,1749373.386557,0.0,0.000439
1,32,99999.961252,38.747642,0.0,0.0
1,39,99999.922508,77.492091,4.464626,0.0
1,41,99661.067001,338932.998875,0.0,0.179661
1,45,99999.922517,77.482862,3.399014,0.0
2,3,99775.475329,224524.670961,6.525636,0.0
2,4,99664.389909,335610.090713,1.167536,0.000393
2,7,99999.922498,77.501539,1.372218,0.0
2,25,98818.127555,1181872.444621,18.169045,0.000609
2,28,99999.92278,77.220079,0.0,0.0
2,36,99999.922777,77.223184,11.439681,0.0
2,38,99999.922786,77.213871,0.0,0.0
2,46,94974.062556,5025937.444009,29.080033,0.075164
3,23,99772.223694,227776.306497,0.0,0.0
4,5,99577.257629,422742.37099,20.314455,0.000501
4,6,99999.94185,58.149852,6.723642,0.000403
4,7,93465.869218,6534130.782438,11.437535,0.006768
4,11,99999.942014,57.985945,14.158964,0.0
4,16,94748.756641,5251243.359066,12.133002,0.735421
4,31,97948.931512,2051068.487863,11.747003,0.000444
5,10,99999.899647,100.353131,11.295319,0.000399
5,12,99999.922236,77.764282,16.735911,0.0
5,15,99999.922511,77.488943,7.320523,0.0
5,16,97334.61652,2665383.48008,13.35454,0.0
5,20,99999.92253,77.470312,28.173566,0.0
5,21,99999.961254,38.746005,4.126906,0.0
5,35,97880.248855,2119751.144998,0.0,0.0
5,37,99466.999673,533000.327435,1.835465,0.0
5,40,99999.922527,77.473372,0.0,0.0
6,9,99999.922251,77.748532,7.214069,0.0
6,40,99999.92252,77.479668,9.59456,0.0
7,8,99999.96126,38.739902,1.950145,0.0
7,11,99999.961119,38.880564,5.181551,0.0
7,13,99999.96126,38.739902,7.931113,0.0
7,20,99999.922517,77.482908,569.837689,0.0
7,29,99999.117774,882.225857,0.0,0.0
7,30,99350.690825,649309.175085,3.834486,0.000538
7,32,99999.922502,77.498433,0.0,0.0
7,35,99999.922514,77.486012,7.382512,0.0
7,41,99888.91423,111085.770324,9.348154,0.002256
7,43,98208.655836,1791344.164306,31.172156,0.0
7,45,99997.554639,2445.361209,0.0,0.0
8,38,99999.961392,38.608489,0.0,0.0
9,10,99999.942031,57.968898,2.18904,0.000867
10,12,99999.942022,57.978347,13.357878,0.000891
10,14,99999.942022,57.978347,0.0,0.000606
12,15,99999.922492,77.507841,17.601013,0.0
14,18,99999.92222,77.780028,0.0,0.0
14,23,99999.961257,38.743053,2.737045,0.0
14,27,99999.961248,38.752367,0.0,0.0
16,17,99999.922786,77.213866,7.443547,0.0
16,19,99999.92278,77.220078,5.64754,0.0
16,22,99999.922777,77.223184,9.498477,0.0
16,34,98024.11032,1975889.680117,4.869461,0.0
16,42,99999.961387,38.613146,4.318953,0.0
16,46,91960.868842,8039131.15832,6.750107,0.871659
16,48,91109.182835,8890817.165431,2.948999,0.0
17,18,99999.922508,77.492267,0.0,0.0
17,19,99999.961395,38.605382,0.0,0.0
17,24,99999.961392,38.608486,6.686449,0.0
17,31,99999.922789,77.210764,14.624357,0.0
17,44,99999.922783,77.216972,1.37651,0.0
19,42,99999.961384,38.616251,0.0,0.0
20,25,99999.942136,57.863896,0.0,0.000577
20,33,99999.922792,77.207658,672.225714,0.0
21,33,99999.961384,38.616252,0.0,0.0
22,26,99999.922786,77.213871,0.0,0.0
22,36,99999.922777,77.223184,2.856851,0.0
23,29,99994.242059,5757.941379,0.0,0.0
23,47,99777.038534,222961.465685,0.0,0.0
24,48,99884.939799,115060.200832,0.0,0.0
26,37,99999.922527,77.47346,0.0,0.0
33,34,99868.50179,131498.210405,0.0,0.0
33,43,99999.961252,38.747664,2.467632,0.0
34,39,98493.381921,1506618.078943,7.637143,0.0
35,47,97918.726873,2081273.126981,21.37351,0.0
40,44,99999.922786,77.213867,0.0,0.0
