src,dst,add_st,mul_st
1,2,0,1.0
1,3,0,1.0
1,4,-1,0.6666666666666666
1,5,-1,0.6666666666666666
1,6,-1,0.6666666666666666
1,7,1,1.5
1,8,0,1.0
1,9,-1,0.6666666666666666
1,10,1,1.5
1,11,-1,0.75
1,12,1,1.5
1,13,-1,0.6666666666666666
1,14,-2,0.5
1,15,0,1.0
1,16,-1,0.75
1,17,-2,0.5
1,18,0,1.0
1,19,-1,0.75
1,20,0,1.0
1,21,-2,0.5
1,22,-2,0.5
1,23,-1,0.75
1,24,-3,0.4
1,25,-1,0.8
1,26,-1,0.6666666666666666
1,27,-1,0.6666666666666666
1,28,-2,0.5
1,29,1,1.3333333333333333
1,30,0,1.0
1,31,0,1.0
1,32,-1,0.6666666666666666
2,1,0,1.0
2,3,0,1.0
2,4,0,1.0
2,5,1,1.5
2,6,0,1.0
2,7,-1,0.6666666666666666
2,8,-1,0.75
2,9,1,1.3333333333333333
2,10,1,1.3333333333333333
2,11,0,1.0
2,12,1,1.3333333333333333
2,13,0,1.0
2,14,1,1.3333333333333333
2,15,1,1.3333333333333333
2,16,0,1.0
2,17,2,2.0
2,18,1,1.25
2,19,0,1.0
2,20,0,1.0
2,21,2,2.0
2,22,1,1.5
2,23,-1,0.75
2,24,0,1.0
2,25,-2,0.5
2,26,0,1.0
2,27,1,1.3333333333333333
2,28,0,1.0
2,29,-1,0.75
2,30,-1,0.75
2,31,1,1.5
2,32,0,1.0
3,1,0,1.0
3,2,0,1.0
3,4,1,1.5
3,5,1,1.5
3,6,1,1.5
3,7,1,1.5
3,8,0,1.0
3,9,0,1.0
3,10,1,1.3333333333333333
3,11,1,1.3333333333333333
3,12,2,2.0
3,13,1,1.5
3,14,0,1.0
3,15,2,2.0
3,16,1,1.3333333333333333
3,17,0,1.0
3,18,1,1.3333333333333333
3,19,1,1.3333333333333333
3,20,2,2.0
3,21,0,1.0
3,22,0,1.0
3,23,-1,0.6666666666666666
3,24,-1,0.75
3,25,-1,0.75
3,26,0,1.0
3,27,1,1.5
3,28,0,1.0
3,29,-1,0.75
3,30,0,1.0
3,31,2,2.0
3,32,1,1.5
4,1,-1,0.6666666666666666
4,2,0,1.0
4,3,1,1.5
4,5,-1,0.6666666666666666
4,6,-1,0.6666666666666666
4,7,-1,0.6666666666666666
4,8,-1,0.75
4,9,-1,0.75
4,10,-1,0.75
4,11,0,1.0
4,12,0,1.0
4,13,0,1.0
4,14,1,1.5
4,15,0,1.0
4,16,0,1.0
4,17,1,1.5
4,18,0,1.0
4,19,-1,0.75
4,20,0,1.0
4,21,0,1.0
4,22,0,1.0
4,23,1,1.3333333333333333
4,24,0,1.0
4,25,0,1.0
4,26,-1,0.75
4,27,0,1.0
4,28,0,1.0
4,29,0,1.0
4,30,-1,0.75
4,31,-1,0.6666666666666666
4,32,0,1.0
5,1,-1,0.6666666666666666
5,2,1,1.5
5,3,1,1.5
5,4,-1,0.6666666666666666
5,6,1,1.5
5,7,0,1.0
5,8,0,1.0
5,9,1,1.5
5,10,0,1.0
5,11,1,1.5
5,12,-1,0.6666666666666666
5,13,0,1.0
5,14,-1,0.75
5,15,0,1.0
5,16,0,1.0
5,17,0,1.0
5,18,1,1.3333333333333333
5,19,0,1.0
5,20,-1,0.6666666666666666
5,21,-1,0.6666666666666666
5,22,0,1.0
5,23,1,1.3333333333333333
5,24,-1,0.75
5,25,0,1.0
5,26,0,1.0
5,27,0,1.0
5,28,0,1.0
5,29,1,1.3333333333333333
5,30,-1,0.75
5,31,0,1.0
5,32,0,1.0
6,1,-1,0.6666666666666666
6,2,0,1.0
6,3,1,1.5
6,4,-1,0.6666666666666666
6,5,1,1.5
6,7,0,1.0
6,8,1,1.5
6,9,-1,0.6666666666666666
6,10,0,1.0
6,11,0,1.0
6,12,1,1.3333333333333333
6,13,0,1.0
6,14,-1,0.75
6,15,1,1.3333333333333333
6,16,0,1.0
6,17,-1,0.75
6,18,1,1.3333333333333333
6,19,2,2.0
6,20,1,1.3333333333333333
6,21,-1,0.75
6,22,-1,0.75
6,23,2,2.0
6,24,0,1.0
6,25,1,1.3333333333333333
6,26,-1,0.75
6,27,1,1.5
6,28,-1,0.75
6,29,0,1.0
6,30,-1,0.75
6,31,0,1.0
6,32,0,1.0
7,1,1,1.5
7,2,-1,0.6666666666666666
7,3,1,1.5
7,4,-1,0.6666666666666666
7,5,0,1.0
7,6,0,1.0
7,8,-1,0.6666666666666666
7,9,2,2.0
7,10,1,1.3333333333333333
7,11,-2,0.5
7,12,1,1.3333333333333333
7,13,-1,0.6666666666666666
7,14,0,1.0
7,15,1,1.3333333333333333
7,16,-1,0.75
7,17,0,1.0
7,18,1,1.25
7,19,0,1.0
7,20,-1,0.6666666666666666
7,21,0,1.0
7,22,0,1.0
7,23,-1,0.75
7,24,-1,0.8
7,25,-2,0.6
7,26,0,1.0
7,27,1,1.3333333333333333
7,28,-1,0.75
7,29,-2,0.5
7,30,-1,0.6666666666666666
7,31,0,1.0
7,32,-1,0.6666666666666666
8,1,0,1.0
8,2,-1,0.75
8,3,0,1.0
8,4,-1,0.75
8,5,0,1.0
8,6,1,1.5
8,7,-1,0.6666666666666666
8,9,-1,0.75
8,10,1,1.3333333333333333
8,11,-1,0.75
8,12,1,1.3333333333333333
8,13,-1,0.75
8,14,-2,0.6
8,15,1,1.3333333333333333
8,16,0,1.0
8,17,-2,0.6
8,18,2,2.0
8,19,1,1.3333333333333333
8,20,-1,0.75
8,21,-2,0.6
8,22,-2,0.6
8,23,1,1.3333333333333333
8,24,-1,0.75
8,25,0,1.0
8,26,-1,0.75
8,27,0,1.0
8,28,-1,0.75
8,29,-1,0.75
8,30,0,1.0
8,31,0,1.0
8,32,-1,0.75
9,1,-1,0.6666666666666666
9,2,1,1.3333333333333333
9,3,0,1.0
9,4,-1,0.75
9,5,1,1.5
9,6,-1,0.6666666666666666
9,7,2,2.0
9,8,-1,0.75
9,10,-1,0.6666666666666666
9,11,1,1.3333333333333333
9,12,-1,0.75
9,13,-1,0.75
9,14,-2,0.6
9,15,1,1.3333333333333333
9,16,1,1.3333333333333333
9,17,-1,0.75
9,18,0,1.0
9,19,0,1.0
9,20,0,1.0
9,21,-1,0.75
9,22,-1,0.75
9,23,0,1.0
9,24,-2,0.6
9,25,1,1.25
9,26,-1,0.75
9,27,-1,0.75
9,28,-1,0.75
