node1,node2,free_bw,used_bw,delay,pkloss
1,3,86806.373253,13193626.747314,25.708914,0.003881
1,4,11679.959859,88320040.141013,11.837482,0.0
1,5,82368.232149,17631767.851115,5.460143,0.002473
1,6,96864.905535,3135094.465252,5.769372,0.0
1,8,69880.851268,30119148.731834,24.868965,0.0
1,9,34063.051321,65936948.678643,27.407527,0.0
1,13,75651.856419,24348143.580665,25.123596,0.0
1,14,71060.086226,28939913.774449,16.615987,0.0
1,17,88763.316307,11236683.693355,12.087941,0.0
1,21,91640.317269,8359682.731196,16.1165,0.0
1,22,91079.261961,8920738.039102,24.565458,0.0
1,24,94127.22879,5872771.209684,33.194065,0.0
1,26,97937.213863,2062786.136995,19.279957,0.0
1,27,94831.285963,5168714.036547,17.874956,0.0
1,28,94019.468997,5980531.002913,36.623955,0.0
1,30,97037.832614,2962167.386211,0.0,0.0
1,32,98017.771785,1982228.214732,2.650976,0.0
1,39,92149.095829,7850904.171074,21.760821,0.0
1,41,99458.237203,541762.796504,13.120055,0.0
1,45,95611.803064,4388196.936311,39.501429,0.0
2,3,89022.511117,10977488.883338,0.8775,0.002557
2,4,97392.389042,2607610.958448,10.491967,0.0
2,7,92566.375161,7433624.839298,17.058015,0.0
2,25,96691.566863,3308433.137402,87.823033,0.183276
2,28,99999.92008,79.920085,41.170001,0.0
2,36,98487.535703,1512464.296804,0.0,0.0
2,38,98476.61318,1523386.820353,19.513011,0.0
2,46,98671.184066,1328815.933701,26.325941,0.0
3,23,94766.272096,5233727.904366,19.67299,0.0
4,5,47494.127252,52505872.747872,8.264065,0.014011
4,6,90239.777923,9760222.076971,5.666375,0.096626
4,7,55777.246566,44222753.433967,0.0,0.007488
4,11,87465.611606,12534388.394222,21.922469,0.0
4,16,77062.556722,22937443.278121,11.653066,0.0
4,31,93565.013918,6434986.082369,7.860065,0.0
5,10,83900.145297,16099854.703484,9.944439,0.0
5,12,58034.467582,41965532.417811,0.63765,0.003036
5,15,91957.963534,8042036.465659,21.173596,0.0
5,16,96260.946683,3739053.317059,10.824442,0.0
5,20,88248.746078,11751253.921888,13.142109,0.0
5,21,98401.591408,1598408.592389,20.192385,0.0
5,35,99372.14948,627850.520183,18.090367,0.0
5,37,95331.271244,4668728.755722,22.093892,0.0
5,40,99605.928414,394071.585883,23.148537,0.0
6,9,92884.711003,7115288.996795,6.142616,0.003688
6,40,99626.861992,373138.008245,0.0,0.0
7,8,99122.634644,877365.356091,31.871438,0.0
7,11,53301.763462,46698236.537661,0.0,0.0
7,13,86533.585894,13466414.106306,21.147132,0.0
7,20,97356.927708,2643072.29223,18.079042,0.0
7,29,93595.777757,6404222.242562,0.0,0.0
7,30,98255.889464,1744110.536126,1.936316,0.0
7,32,98451.404411,1548595.588847,1.168966,0.0
7,35,99996.134166,3865.834374,18.578887,0.0
7,41,99771.749979,228250.020807,1.165628,0.0
7,43,94503.522234,5496477.765564,0.0,0.0
7,45,99335.238586,664761.414444,0.0,0.0
8,38,93472.055664,6527944.336404,5.41544,0.0
9,10,73786.833361,26213166.638921,15.82408,0.0
10,12,98021.454073,1978545.927102,25.150061,0.0
10,14,88600.096863,11399903.136811,23.861527,0.0
12,15,98129.499051,1870500.949174,23.687005,0.0
14,18,92302.575114,7697424.88556,7.203102,0.0
14,23,88310.804424,11689195.575615,12.975574,0.0
14,27,99705.401141,294598.85941,21.566987,0.0
16,17,99999.920093,79.906775,63.966513,0.0
16,19,94491.403363,5508596.637257,30.022144,0.0
16,22,99287.819203,712180.796835,0.0,0.0
16,34,95394.62482,4605375.179644,14.306545,0.0
16,42,95551.828772,4448171.228425,15.934467,0.0
16,46,96660.479248,3339520.751549,16.160131,0.0
16,48,95344.057922,4655942.078062,24.082065,0.0
17,18,99999.9201,79.900125,26.041627,0.0
17,19,99999.920097,79.90345,11.136532,0.0
17,24,99999.92012,79.880185,29.382467,0.0
17,31,99999.9201,79.900125,15.029669,0.0
17,44,93422.85467,6577145.330448,72.010875,0.0
19,42,99999.960053,39.946739,0.224948,0.0
20,25,96033.562106,3966437.894422,0.0,0.0
20,33,91945.214851,8054785.148579,5.614042,0.0
21,33,99999.920097,79.90345,25.664926,0.0
22,26,99999.920116,79.88351,0.0,0.0
22,36,94888.54534,5111454.659548,10.712028,0.0
23,29,99999.960048,39.951725,4.914641,0.0
23,47,95848.869942,4151130.058378,0.0,0.0
24,48,99999.92012,79.880185,15.548706,0.0
26,37,99999.920097,79.90345,24.869919,0.0
33,34,99999.9201,79.900125,6.179452,0.0
33,43,99999.9201,79.900125,4.654646,0.0
34,39,99999.960048,39.951725,6.234527,0.0
35,47,99999.960048,39.951725,0.0,0.0
40,44,96050.880752,3949119.247695,13.666987,0.0
