src,dst,add_st,mul_st
1,2,5,2.6666666666666665
1,3,10,6.0
1,4,4,2.3333333333333335
1,5,0,1.0
1,6,3,2.0
1,7,7,4.5
1,8,8,5.0
1,9,2,1.6666666666666667
1,10,2,2.0
1,11,6,2.5
1,12,2,2.0
1,13,7,3.3333333333333335
1,14,1,1.25
1,15,1,1.3333333333333333
1,16,0,1.0
1,17,1,1.25
1,18,3,2.0
1,19,1,1.25
1,20,1,1.3333333333333333
1,21,-2,0.5
1,22,1,1.25
1,23,7,2.75
1,24,1,1.2
1,25,4,1.8
1,26,3,2.0
1,27,-1,0.6666666666666666
1,28,-2,0.5
1,29,7,3.3333333333333335
1,30,8,5.0
1,31,3,2.0
1,32,-1,0.6666666666666666
2,1,5,2.6666666666666665
2,3,3,2.5
2,4,0,1.0
2,5,4,3.0
2,6,0,1.0
2,7,-1,0.6666666666666666
2,8,-1,0.75
2,9,1,1.3333333333333333
2,10,2,1.6666666666666667
2,11,0,1.0
2,12,3,2.0
2,13,0,1.0
2,14,3,2.0
2,15,4,2.3333333333333335
2,16,4,2.3333333333333335
2,17,6,4.0
2,18,3,1.75
2,19,4,2.0
2,20,4,2.3333333333333335
2,21,5,3.5
2,22,6,4.0
2,23,0,1.0
2,24,5,2.25
2,25,-2,0.5
2,26,5,2.25
2,27,6,3.0
2,28,7,4.5
2,29,-1,0.75
2,30,-1,0.75
2,31,7,4.5
2,32,0,1.0
3,1,10,6.0
3,2,3,2.5
3,4,4,3.0
3,5,8,5.0
3,6,5,3.5
3,7,2,2.0
3,8,2,1.6666666666666667
3,9,5,2.6666666666666665
3,10,6,3.0
3,11,2,1.6666666666666667
3,12,8,5.0
3,13,3,2.5
3,14,7,3.3333333333333335
3,15,9,5.5
3,16,8,3.6666666666666665
3,17,9,4.0
3,18,8,3.6666666666666665
3,19,9,4.0
3,20,9,5.5
3,21,8,3.6666666666666665
3,22,9,4.0
3,23,-1,0.6666666666666666
3,24,9,3.25
3,25,2,1.5
3,26,10,4.333333333333333
3,27,11,6.5
3,28,10,4.333333333333333
3,29,-1,0.75
3,30,2,1.6666666666666667
3,31,11,6.5
3,32,3,2.5
4,1,4,2.3333333333333335
4,2,0,1.0
4,3,4,3.0
4,5,2,1.6666666666666667
4,6,-1,0.6666666666666666
4,7,0,1.0
4,8,0,1.0
4,9,-1,0.75
4,10,0,1.0
4,11,2,2.0
4,12,2,1.6666666666666667
4,13,1,1.3333333333333333
4,14,3,2.5
4,15,3,2.0
4,16,4,3.0
4,17,5,3.5
4,18,2,1.5
4,19,3,1.75
4,20,3,2.0
4,21,3,2.0
4,22,4,2.3333333333333335
4,23,2,1.6666666666666667
4,24,5,2.6666666666666665
4,25,0,1.0
4,26,4,2.0
4,27,5,2.6666666666666665
4,28,5,2.6666666666666665
4,29,1,1.3333333333333333
4,30,0,1.0
4,31,5,2.6666666666666665
4,32,1,1.3333333333333333
5,1,0,1.0
5,2,4,3.0
5,3,8,5.0
5,4,2,1.6666666666666667
5,6,2,2.0
5,7,4,2.3333333333333335
5,8,5,2.6666666666666665
5,9,1,1.5
5,10,0,1.0
5,11,6,4.0
5,12,-1,0.6666666666666666
5,13,5,2.6666666666666665
5,14,-1,0.75
5,15,0,1.0
5,16,0,1.0
5,17,0,1.0
5,18,1,1.3333333333333333
5,19,0,1.0
5,20,-1,0.6666666666666666
5,21,-1,0.6666666666666666
5,22,0,1.0
5,23,6,3.0
5,24,0,1.0
5,25,4,2.3333333333333335
5,26,1,1.3333333333333333
5,27,1,1.3333333333333333
5,28,1,1.3333333333333333
5,29,5,2.6666666666666665
5,30,4,2.0
5,31,1,1.3333333333333333
5,32,5,2.6666666666666665
6,1,3,2.0
6,2,0,1.0
6,3,5,3.5
6,4,-1,0.6666666666666666
6,5,2,2.0
6,7,1,1.3333333333333333
6,8,3,2.5
6,9,-1,0.6666666666666666
6,10,0,1.0
6,11,2,1.6666666666666667
6,12,1,1.3333333333333333
6,13,2,1.6666666666666667
6,14,0,1.0
6,15,2,1.6666666666666667
6,16,2,1.6666666666666667
6,17,2,1.5
6,18,2,1.6666666666666667
6,19,4,3.0
6,20,2,1.6666666666666667
6,21,1,1.25
6,22,2,1.5
6,23,4,3.0
6,24,4,2.3333333333333335
6,25,1,1.3333333333333333
6,26,3,1.75
6,27,5,3.5
6,28,3,1.75
6,29,1,1.25
6,30,1,1.25
6,31,4,2.3333333333333335
6,32,2,1.6666666666666667
7,1,7,4.5
