node1,node2,bwd,delay,pkloss
1,3,99999.827664,27.542472,0.0
1,7,99999.827664,6.168008,0.0
1,16,99999.827664,5.158663,0.0
2,4,99999.827664,1.227975,0.0
2,7,99999.827664,18.980503,0.0
2,12,99999.827664,1.516938,0.0
2,13,99999.827664,10.108948,0.0
2,18,24999.827664,2.832532,0.0
2,23,24999.827664,0.474453,0.0
3,10,99999.827664,4.454494,0.0
3,11,24999.827664,11.834979,0.0
3,14,1549.827664,1.349449,0.0
3,21,99999.827664,0.89097,0.0
4,16,99999.827664,0.0,0.0
5,8,24999.827664,0.279307,0.0
5,16,24999.827664,0.0,0.0
6,7,1549.827664,14.69779,0.0
6,19,1549.784579,13.648033,0.0
7,17,99999.827664,21.770477,0.0
7,19,24999.827664,25.423408,0.0
7,21,99999.827664,0.637889,0.0
8,9,24999.827664,31.058669,0.0
9,15,24999.827664,9.86588,0.0
9,16,99999.827664,17.938614,0.0
10,11,24999.827679,26.818752,0.0
10,12,99999.827664,3.894687,0.0
10,16,99999.827679,0.0,0.0
10,17,99999.827679,6.785154,0.0
12,22,99999.827664,9.733081,0.0
13,14,1549.827664,4.944444,0.0
13,17,99999.827679,3.877401,0.0
13,19,24999.827679,10.165453,0.0
15,20,24999.827679,2.682447,0.0
17,20,99999.827679,19.268036,0.0
17,23,24999.827679,0.2774,0.0
18,21,24999.784579,23.417473,0.0
20,22,24999.827679,11.708021,0.0
